,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
865,GCA_009739885.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374692,P1D12C1,,,Complete Genome,1,2818171,,33.0,549.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739885.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
866,GCA_009740205.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374687,P1D5C2,,,Complete Genome,1,2818364,,33.0,399.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009740205.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
867,GCA_009769095.1,Staphylococcus aureus,homo sapiens,urine,,,,2858,Best-placed reference protein set; GeneMarkS-2+,SPAdes v. 3.1,SAMN12721400,NCCP 16830,,,Complete Genome,1,2796040,,33.0,401.0,2,2,98.48,0.39,v1.2.3,PRJNA564722,,homo sapiens | urine,human,urine,GCA_009769095.1,,South Korea,,urine,,Human,,Human,diabetes,"Human, Homo sapiens",Homo sapiens
868,GCA_009857055.1,Staphylococcus aureus,homo sapiens,sputum,,"staphylococcus aureus multilocus sequence type 630 (st630) is a human clinical isolate from the renji hospital affiliated to shanghai jiaotong university, china.",,2960,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. 4.8,SAMN13698767,RJ1267,,,Complete Genome,1,2899307,,32.5,1.0,2,2,96.38,1.58,v1.2.3,PRJNA598122,,"homo sapiens | sputum | staphylococcus aureus multilocus sequence type 630 (st630) is a human clinical isolate from the renji hospital affiliated to shanghai jiaotong university, china.",human,"sputum staphylococcus aureus multilocus sequence type 630 (st630) is a human clinical isolate from the renji hospital affiliated to shanghai jiaotong university, china.",GCA_009857055.1,"isolate from the Renji hospital affiliated to Shanghai Jiaotong University, China",China,,sputum,,Human,Female,Human,hyperbilirubinemia,"Human, Homo sapiens",Homo sapiens
869,GCA_009873665.1,Staphylococcus aureus,homo sapiens,blood,,,,2899,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021443,SAZ6,,,Scaffold,5,202948,,32.5,100.0,46,43,97.84,0.98,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009873665.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
870,GCA_009873715.1,Staphylococcus aureus,homo sapiens,blood,,,,2900,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021438,SAZ1,,,Scaffold,5,202999,,32.5,100.0,49,46,97.84,0.98,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009873715.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
871,GCA_009873745.1,Staphylococcus aureus,homo sapiens,blood,,,,2801,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021437,SAW5,,,Scaffold,8,138656,,32.5,100.0,45,43,98.5,0.54,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009873745.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
872,GCA_009873755.1,Staphylococcus aureus,homo sapiens,blood,,,,2801,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021435,SAW3,,,Scaffold,7,153506,,32.5,100.0,41,37,98.59,0.54,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009873755.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
873,GCA_009873795.1,Staphylococcus aureus,homo sapiens,blood,,,,2797,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021434,SAW2,,,Scaffold,7,149878,,32.5,100.0,47,39,98.62,0.54,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009873795.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
874,GCA_009874615.1,Staphylococcus aureus,homo sapiens,blood,,,,2901,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 12,SAMN13021439,SAZ2,,,Scaffold,5,170664,,32.5,100.0,49,43,97.84,0.98,v1.2.3,PRJNA577181,,homo sapiens | blood,human,blood,GCA_009874615.1,,China,,blood,,Human,,Human,endocarditis,"Human, Homo sapiens",Homo sapiens
875,GCA_009883675.1,Staphylococcus aureus,homo sapiens,sputum,,,,2981,Best-placed reference protein set; GeneMarkS+,MaSuRCA v. 3.2.8,SAMN10135573,WH3018,,,Chromosome,1,2819861,,33.0,30.0,1,1,97.17,1.09,v1.2.4,PRJNA493519,,homo sapiens | sputum,human,sputum,GCA_009883675.1,,China,,sputum,,Human,,Human,pneumonia,"Human, Homo sapiens",Homo sapiens
876,GCA_009883695.1,Staphylococcus aureus,homo sapiens,sputum,,,,2995,Best-placed reference protein set; GeneMarkS+,MaSuRCA v. 3.2.8,SAMN10135572,WH9628,,,Chromosome,1,2841869,,33.0,30.0,1,1,97.13,0.75,v1.2.4,PRJNA493519,,homo sapiens | sputum,human,sputum,GCA_009883695.1,,China,,sputum,,Human,,Human,pneumonia,"Human, Homo sapiens",Homo sapiens
877,GCA_009911815.1,Staphylococcus aureus,homo sapiens,,,,,2768,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175638,UP_1522,,,Complete Genome,1,2758612,,33.0,,2,2,97.7,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009911815.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
878,GCA_009911835.1,Staphylococcus aureus,homo sapiens,,,,,2813,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175644,UP_1632,,,Complete Genome,1,2806864,,33.0,,1,1,98.67,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009911835.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
879,GCA_009911855.1,Staphylococcus aureus,homo sapiens,,,,,2740,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175634,UP_1433,,,Complete Genome,1,2741466,,33.0,,3,3,98.68,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009911855.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
880,GCA_009911895.1,Staphylococcus aureus,homo sapiens,,,,,2813,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175621,UP_967,,,Complete Genome,1,2803947,,33.0,,1,1,98.52,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009911895.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
881,GCA_009912015.1,Staphylococcus aureus,homo sapiens,,,,,2711,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175637,UP_1500,,,Complete Genome,1,2733044,,33.0,,2,2,98.63,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912015.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
882,GCA_009912035.1,Staphylococcus aureus,homo sapiens,,,,,2832,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175641,UP_1572,,,Complete Genome,1,2858867,,33.0,,1,1,97.57,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912035.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
883,GCA_009912055.1,Staphylococcus aureus,homo sapiens,,,,,2701,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175643,UP_1612,,,Complete Genome,1,2697945,,33.0,,2,2,97.13,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912055.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
884,GCA_009912075.1,Staphylococcus aureus,homo sapiens,,,,,2873,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175645,UP_1654,,,Complete Genome,1,2860390,,33.0,,2,2,97.44,0.73,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912075.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
885,GCA_009912095.1,Staphylococcus aureus,homo sapiens,,,,,2642,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175628,UP_1209,,,Complete Genome,1,2690371,,33.0,,1,1,97.34,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912095.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
886,GCA_009912115.1,Staphylococcus aureus,homo sapiens,,,,,2731,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175616,UP_794,,,Complete Genome,1,2760735,,33.0,,1,1,98.58,0.34,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912115.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
887,GCA_009912155.1,Staphylococcus aureus,homo sapiens,,,,,2883,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175640,UP_1559,,,Complete Genome,1,2883314,,33.0,,1,1,96.95,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912155.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
888,GCA_009912195.1,Staphylococcus aureus,homo sapiens,,,,,2812,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175630,UP_1278,,,Complete Genome,1,2816598,,33.0,,4,4,98.48,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912195.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
889,GCA_009912255.1,Staphylococcus aureus,homo sapiens,,,,,2762,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175620,UP_926,,,Complete Genome,1,2777431,,33.0,,2,2,98.34,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912255.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
890,GCA_009912295.1,Staphylococcus aureus,homo sapiens,,,,,2711,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175639,UP_1539,,,Complete Genome,1,2746804,,33.0,,1,1,98.25,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912295.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
891,GCA_009912335.1,Staphylococcus aureus,homo sapiens,,,,,2661,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175631,UP_1313,,,Complete Genome,1,2734199,,33.0,,1,1,97.9,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912335.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
892,GCA_009912355.1,Staphylococcus aureus,homo sapiens,,,,,2737,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175629,UP_1239,,,Complete Genome,1,2744945,,33.0,,2,2,98.63,0.43,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912355.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
893,GCA_009912375.1,Staphylococcus aureus,homo sapiens,,,,,2742,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175624,UP_1073,,,Complete Genome,1,2747891,,33.0,,2,2,98.23,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912375.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
894,GCA_009912415.1,Staphylococcus aureus,homo sapiens,,,,,2654,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175636,UP_1484,,,Complete Genome,1,2709643,,33.0,,2,2,98.37,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912415.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
895,GCA_009912435.1,Staphylococcus aureus,homo sapiens,,,,,2982,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175635,UP_1452,,,Complete Genome,1,2949972,,33.0,,1,1,97.48,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912435.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
896,GCA_009912455.1,Staphylococcus aureus,homo sapiens,,,,,2595,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175625,UP_1108,,,Complete Genome,1,2672314,,33.0,,1,1,97.96,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912455.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
897,GCA_009912475.1,Staphylococcus aureus,homo sapiens,,,,,2959,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175632,UP_1352,,,Complete Genome,1,2948281,,33.0,,1,1,96.65,0.62,v1.2.4,PRJNA528186,,homo sapiens,human,,GCA_009912475.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
898,GCA_009912495.1,Staphylococcus aureus,homo sapiens,,,,,2766,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175627,UP_1186,,,Complete Genome,1,2776423,,33.0,,1,1,98.07,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912495.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
899,GCA_009912535.1,Staphylococcus aureus,homo sapiens,,,,,2759,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175626,UP_1150,,,Complete Genome,1,2790390,,33.0,,1,1,98.69,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912535.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
900,GCA_009912555.1,Staphylococcus aureus,homo sapiens,,,,,2770,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175619,UP_883,,,Complete Genome,1,2774422,,33.0,,2,2,97.81,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912555.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
901,GCA_009912595.1,Staphylococcus aureus,homo sapiens,,,,,2822,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175623,UP_1033,,,Complete Genome,1,2847876,,33.0,,1,1,97.63,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912595.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
902,GCA_009912615.1,Staphylococcus aureus,homo sapiens,,,,,2716,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175618,UP_830,,,Complete Genome,1,2747791,,33.0,,1,1,98.87,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912615.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
903,GCA_009912635.1,Staphylococcus aureus,homo sapiens,,,,,2658,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175607,UP_490,,,Complete Genome,1,2706366,,33.0,,1,1,98.16,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912635.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
904,GCA_009912655.1,Staphylococcus aureus,homo sapiens,,,,,2729,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175622,UP_996,,,Complete Genome,1,2730743,,33.0,,3,3,98.57,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912655.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
905,GCA_009912675.1,Staphylococcus aureus,homo sapiens,,,,,2778,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175615,UP_764,,,Complete Genome,1,2819041,,33.0,,1,1,97.84,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912675.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
906,GCA_009912695.1,Staphylococcus aureus,homo sapiens,,,,,2769,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175614,UP_719,,,Complete Genome,1,2765656,,33.0,,2,2,97.94,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912695.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
907,GCA_009912715.1,Staphylococcus aureus,homo sapiens,,,,,2895,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175617,UP_818,,,Complete Genome,1,2896381,,33.0,,1,1,97.56,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912715.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
908,GCA_009912735.1,Staphylococcus aureus,homo sapiens,,,,,2793,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175613,UP_678,,,Complete Genome,1,2798472,,33.0,,2,2,98.72,0.54,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912735.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
909,GCA_009912755.1,Staphylococcus aureus,homo sapiens,,,,,2819,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175608,UP_522,,,Complete Genome,1,2781568,,33.0,,2,2,98.14,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912755.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
910,GCA_009912775.1,Staphylococcus aureus,homo sapiens,,,,,2751,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175612,UP_644,,,Complete Genome,1,2738812,,33.0,,2,2,98.23,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912775.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
911,GCA_009912795.1,Staphylococcus aureus,homo sapiens,,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175598,UP_248,,,Complete Genome,1,2933430,,33.0,,1,1,97.14,0.63,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912795.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
912,GCA_009912815.1,Staphylococcus aureus,homo sapiens,,,,,2726,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175603,UP_378,,,Complete Genome,1,2752372,,33.0,,1,1,98.37,0.56,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912815.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
913,GCA_009912835.1,Staphylococcus aureus,homo sapiens,,,,,2815,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175606,UP_462,,,Complete Genome,1,2848793,,33.0,,1,1,98.0,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912835.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
914,GCA_009912855.1,Staphylococcus aureus,homo sapiens,,,,,2786,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175611,UP_620,,,Complete Genome,1,2779486,,33.0,,2,2,98.85,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912855.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
915,GCA_009912875.1,Staphylococcus aureus,homo sapiens,,,,,2700,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175610,UP_591,,,Complete Genome,1,2720524,,33.0,,2,2,98.09,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912875.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
916,GCA_009912895.1,Staphylococcus aureus,homo sapiens,,,,,2942,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175594,UP_1435,,,Complete Genome,1,2870100,,33.0,,3,3,98.84,0.41,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912895.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
917,GCA_009912915.1,Staphylococcus aureus,homo sapiens,,,,,2760,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175604,UP_403,,,Complete Genome,1,2752646,,33.0,,2,2,98.57,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912915.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
918,GCA_009912935.1,Staphylococcus aureus,homo sapiens,,,,,2806,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175609,UP_551,,,Complete Genome,1,2840057,,33.0,,1,1,98.36,0.48,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912935.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
919,GCA_009912955.1,Staphylococcus aureus,homo sapiens,,,,,2802,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175605,UP_426,,,Complete Genome,1,2842294,,33.0,,1,1,98.65,0.48,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912955.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
920,GCA_009912975.1,Staphylococcus aureus,homo sapiens,,,,,2801,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175587,UP_419,,,Complete Genome,1,2823088,,33.0,,2,2,98.82,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912975.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
921,GCA_009912995.1,Staphylococcus aureus,homo sapiens,,,,,2801,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175588,UP_774,,,Complete Genome,1,2824060,,33.0,,1,1,98.71,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009912995.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
922,GCA_009913015.1,Staphylococcus aureus,homo sapiens,,,,,2902,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175589,UP_844,,,Complete Genome,1,2870548,,33.0,,2,2,98.43,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913015.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
923,GCA_009913035.1,Staphylococcus aureus,homo sapiens,,,,,2776,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175599,UP_274,,,Complete Genome,1,2768425,,33.0,,2,2,98.48,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913035.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
924,GCA_009913055.1,Staphylococcus aureus,homo sapiens,,,,,2824,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175600,UP_296,,,Complete Genome,1,2819269,,33.0,,1,1,98.39,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913055.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
925,GCA_009913075.1,Staphylococcus aureus,homo sapiens,,,,,2796,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175601,UP_322,,,Complete Genome,1,2821898,,33.0,,1,1,97.79,0.68,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913075.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
926,GCA_009913095.1,Staphylococcus aureus,homo sapiens,,,,,2892,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175593,UP_1405,,,Complete Genome,1,2860128,,33.0,,2,2,98.76,0.42,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913095.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
927,GCA_009913115.1,Staphylococcus aureus,homo sapiens,,,,,2784,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175590,UP_1097,,,Complete Genome,1,2804489,,33.0,,1,1,98.4,0.62,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913115.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
928,GCA_009913135.1,Staphylococcus aureus,homo sapiens,,,,,2894,Best-placed reference protein set; GeneMarkS-2+,Unicycler Hybrid Assembly v. 0.4.8,SAMN11175596,UP_1525,,,Complete Genome,1,2863573,,33.0,,2,2,98.67,0.39,v1.2.3,PRJNA528186,,homo sapiens,human,,GCA_009913135.1,,,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
