Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCF_022699245.1	Staphylococcus aureus	homo sapiens	skin	NA	NA	NA	2939	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.7.1-b1590; racon v. 1.4.15; pilon v. 1.23	SAMN26754767	WA121-2010_15611	NA	NA	Complete Genome	1	2840066	NA	33	261	3	3	98.57	1.27	v1.2.3	PRJNA817299	NA	homo sapiens | skin	human
GCF_022699265.1	Staphylococcus aureus	homo sapiens	skin	NA	NA	NA	2939	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.7.1-b1590; racon v. 1.4.15; pilon v. 1.23	SAMN26754981	WA121-2021_16354	NA	NA	Complete Genome	1	2843362	NA	33	378	3	3	98.57	1.29	v1.2.3	PRJNA817299	NA	homo sapiens | skin	human
GCF_022699285.1	Staphylococcus aureus	homo sapiens	skin	NA	NA	NA	2899	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.7.1-b1590; racon v. 1.4.15; pilon v. 1.23	SAMN26754980	WA121-2021_15363	NA	NA	Complete Genome	1	2840551	NA	33	414	2	2	98.57	1.27	v1.2.3	PRJNA817299	NA	homo sapiens | skin	human
GCF_022702385.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2826	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.11	SAMN12912375	2014.N	NA	NA	Chromosome	1	2835560	NA	33	1687	1	1	96.69	0.68	v1.2.3	PRJNA575859	NA	homo sapiens | nose	human
GCF_022702425.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2851	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.11	SAMN12912376	2014.N Survivor A	NA	NA	Chromosome	1	2857440	NA	33	1144	1	1	97.4	0.68	v1.2.3	PRJNA575859	NA	homo sapiens	human
GCF_022702455.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2828	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.11	SAMN12912377	2014.N Survivor B	NA	NA	Chromosome	1	2842021	NA	33	2534	1	1	97.4	0.68	v1.2.3	PRJNA575859	NA	homo sapiens	human
GCF_022809795.1	Staphylococcus aureus	NA	sputum	NA	NA	NA	2973	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.8	SAMN26665714	N10CSA27	NA	NA	Complete Genome	1	2908415	NA	33	150	2	2	97.99	0.55	v1.2.3	PRJNA816280	NA	sputum	NA
GCF_022832755.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	3056	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v3.0	SAMN27065489	NY2491	NA	NA	Complete Genome	1	3011345	NA	33	100	2	2	98.73	0.39	v1.2.3	PRJNA821326	NA	homo sapiens | blood	human
GCF_022832835.1	Staphylococcus aureus	homo sapiens	sputum	NA	NA	NA	2992	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v3.0	SAMN27065448	NY2010	NA	NA	Complete Genome	1	2963184	NA	33	100	2	2	98.82	0.39	v1.2.3	PRJNA821321	NA	homo sapiens | sputum	human
GCF_022870465.1	Staphylococcus aureus	NA	wound	NA	NA	NA	2805	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v0.4.9	SAMN20104198	ATCC 29213	NA	NA	Complete Genome	1	2762077	NA	33	150	2	2	98.87	1.27	v1.2.3	PRJNA744507	NA	wound	NA
GCF_022870625.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2826	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.6	SAMN16710839	TCH32767	NA	NA	Complete Genome	1	2832381	NA	33	193	1	1	97.9	0.58	v1.2.3	PRJNA675653	NA	homo sapiens | blood	human
GCF_022899025.1	Staphylococcus aureus	NA	duck salad without dressing	NA	NA	NA	2734	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304885	Crie-F371	NA	NA	Scaffold	5	288727	NA	32.5	116	26	22	98.59	0.43	v1.2.3	PRJNA823522	NA	duck salad without dressing	food
GCF_022899175.1	Staphylococcus aureus	NA	mashed potato	NA	NA	NA	2740	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304879	Crie-F278	NA	NA	Scaffold	3	325037	NA	32.5	226	46	43	98.57	0.39	v1.2.3	PRJNA823522	NA	mashed potato	NA
GCF_022899275.1	Staphylococcus aureus	NA	beetroot salad with pickles and dressing	NA	NA	NA	2759	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304872	Crie-F271	NA	NA	Scaffold	2	595944	NA	33	159	23	22	98.57	0.39	v1.2.3	PRJNA823522	NA	beetroot salad with pickles and dressing	food
GCF_022899345.1	Staphylococcus aureus	NA	boiled poultry meat	NA	NA	NA	2775	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304875	Crie-F274	NA	NA	Scaffold	2	428069	NA	33	182	43	39	97.96	0.62	v1.2.3	PRJNA823522	NA	boiled poultry meat	food
GCF_022899515.1	Staphylococcus aureus	NA	homemade kholodets	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304904	Crie-F596	NA	NA	Scaffold	2	468128	NA	32.5	93	25	20	97.5	0.62	v1.2.3	PRJNA823522	NA	homemade kholodets	NA
GCF_022899645.1	Staphylococcus aureus	NA	salad ""nezhnost"" with dressing	NA	NA	NA	2810	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304903	Crie-F595	NA	NA	Scaffold	5	255299	NA	33.5	80	25	22	98.58	0.43	v1.2.4	PRJNA823522	NA	salad ""nezhnost"" with dressing	food
GCF_022899695.1	Staphylococcus aureus	NA	omelet	NA	NA	NA	2790	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN27304902	Crie-F528	NA	NA	Scaffold	4	314941	NA	32.5	154	21	19	98.68	0.39	v1.2.3	PRJNA823522	NA	omelet	NA
GCF_023093735.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2740	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN27610134	B3-1	NA	NA	Scaffold	6	154064	NA	33	100	40	37	98.59	0.54	v1.2.3	PRJNA827471	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_023093755.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2680	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN27610136	ZF7406	NA	NA	Scaffold	3	410721	NA	33	100	20	17	98.81	0.39	v1.2.3	PRJNA827471	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_023170025.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2781	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 3	SAMD00436748	JP025	NA	NA	Complete Genome	1	2794309	NA	33	100	2	2	98.22	0.54	v1.2.3	PRJDB12844	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_023170045.1	Staphylococcus aureus	NA	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2957	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 3.0	SAMD00225532	JICS127	NA	NA	Complete Genome	1	2879025	NA	32.5	154	3	3	97.28	0.94	v1.2.3	PRJDB9778	NA	keywords: gsc:mixs;migs:6.0	NA
GCF_023198465.1	Staphylococcus aureus	homo sapiens	deep phlegm	NA	NA	NA	2717	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN27365731	21112543	NA	NA	Scaffold	7	128347	NA	32.5	450.26	39	38	98.62	0.39	v1.2.3	PRJNA824222	NA	homo sapiens | deep phlegm	human
GCF_023198525.1	Staphylococcus aureus	homo sapiens	purulent secretion	NA	NA	NA	2824	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN27365727	21083150	NA	NA	Scaffold	3	216014	NA	33	303.12	26	25	98.69	0.39	v1.2.3	PRJNA824222	NA	homo sapiens | purulent secretion	human
GCF_023204895.1	Staphylococcus aureus	homo sapiens	cancer patient	NA	NA	NA	2641	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v.3.14.1	SAMN27676967	RAC082018-A	NA	NA	Chromosome	10	103317	NA	32.5	80	41	1	97.46	0.32	v1.2.3	PRJNA828599	NA	homo sapiens | cancer patient	human
GCF_023223475.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2836	Best-placed reference protein set; GeneMarkS-2+	SKESA v. HGAP4	SAMN26026468	P5	NA	NA	Complete Genome	1	2838421	NA	33	559	1	1	98.78	0.39	v1.2.3	PRJNA808065	NA	homo sapiens	human
GCF_023278065.1	Staphylococcus aureus	NA	NA	NA	staphylococcus aureus sh1000 is part of the 8325 lineage, which includes the progenitor strain s. aureus nctc 8325 and its genetically-manipulated derivative 8325-4, from which sh1000 was also obtained by genetic modification.	NA	2655	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN15314852	SH1000	NA	NA	Complete Genome	1	2697590	NA	33	498.8	1	1	98.79	0.39	v1.2.3	PRJNA640386	NA	staphylococcus aureus sh1000 is part of the 8325 lineage, which includes the progenitor strain s. aureus nctc 8325 and its genetically-manipulated derivative 8325-4, from which sh1000 was also obtained by genetic modification.	NA
GCF_023373745.1	Staphylococcus aureus	homo sapiens	secretion	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN25263541	N12HSA28	NA	NA	Complete Genome	1	2833771	NA	33	100	2	2	98.65	0.39	v1.2.3	PRJNA800603	NA	homo sapiens | secretion	human
GCF_023508935.1	Staphylococcus aureus	homo sapiens	sputum	NA	NA	NA	2979	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.40; SPAdes v. 3.15; ABySS v. 2.3	SAMN27561720	M191_2017	NA	NA	Scaffold	7	156497	NA	32.5	100	35	34	98.82	3.33	v1.2.3	PRJNA826367	NA	homo sapiens | sputum	human
GCF_023508955.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2872	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.40; SPAdes v. 3.15; ABySS v. 2.3	SAMN27561670	M080_2017	NA	NA	Scaffold	7	142557	NA	32.5	100	38	36	98.82	1.12	v1.2.3	PRJNA826354	NA	homo sapiens | blood	human
GCF_023508975.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2912	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.40; SPAdes v. 3.15; ABySS v. 2.3	SAMN27561677	M106_2017	NA	NA	Scaffold	5	234863	NA	33	100	24	21	97.98	1.57	v1.2.3	PRJNA826356	NA	homo sapiens | blood	human
GCF_023571465.1	Staphylococcus aureus	meles meles	swab (kidney) from post mortem examination	NA	NA	NA	2770	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8.3	SAMN28467499	V40	NA	NA	Complete Genome	1	2795779	NA	33	756	1	1	98.05	0.68	v1.2.3	PRJNA838828	NA	meles meles | swab (kidney) from post mortem examination	meles meles
GCF_023621395.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2665	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177559	SA_19F	NA	NA	Scaffold	4	292055	NA	33	45	20	19	98.31	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621415.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177558	SA_9F	NA	NA	Scaffold	5	197470	NA	33	24	38	35	98.78	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621435.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2788	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177557	SA_8B	NA	NA	Scaffold	4	314848	NA	32.5	60	29	25	98.26	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621455.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2663	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177556	SA_5I	NA	NA	Scaffold	4	332521	NA	33	32	20	19	98.7	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621495.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2797	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177553	SA_33SR	NA	NA	Scaffold	7	156149	NA	32.5	24	44	38	98.53	0.74	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621515.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2784	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177552	SA_6P	NA	NA	Scaffold	4	314615	NA	32.5	60	27	21	97.77	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621545.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2732	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177551	SA_5_PSR	NA	NA	Scaffold	4	275708	NA	32.5	36	23	22	98.7	0.39	v1.2.3	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621565.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2748	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177550	SA_8P	NA	NA	Scaffold	7	150257	NA	33	39	37	32	97.59	0.45	v1.2.4	PRJNA836883	NA	homo sapiens | nasal carriage	human
GCF_023621585.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2786	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177549	SA_11M	NA	NA	Scaffold	4	203012	NA	32.5	18	32	26	98.57	0.54	v1.2.3	PRJNA836883	NA	homo sapiens	human
GCF_023621665.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2678	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177544	SA 13N	NA	NA	Scaffold	4	222729	NA	33	49	21	20	98.9	0.39	v1.2.3	PRJNA836883	NA	homo sapiens	human
GCF_023621705.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2862	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177542	SA_24_SR	NA	NA	Scaffold	9	126799	NA	32.5	27	49	41	98.35	0.45	v1.2.4	PRJNA836883	NA	homo sapiens	human
GCF_023621715.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2663	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177543	SA_12J	NA	NA	Scaffold	4	382950	NA	33	56	20	19	98.9	0.39	v1.2.3	PRJNA836883	NA	homo sapiens	human
GCF_023621745.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2856	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177541	StA_13_SR	NA	NA	Scaffold	4	230131	NA	32.5	42	29	26	98.71	0.74	v1.2.3	PRJNA836883	NA	homo sapiens	human
GCF_023621805.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2742	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4+galaxy0	SAMN28177538	SA_31_SR	NA	NA	Scaffold	2	596332	NA	32.5	55	17	15	98.7	0.39	v1.2.3	PRJNA836883	NA	homo sapiens	human
GCF_023623235.1	Staphylococcus aureus	camelus dromedarius	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2826	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 8.5	SAMN04452707	ILS-20	NA	NA	Scaffold	7	133374	NA	32.5	30	45	43	98.63	0.39	v1.2.3	PRJNA310553	NA	camelus dromedarius | keywords: gsc:mixs;migs:6.0	camel
GCF_023647375.1	Staphylococcus aureus	homo sapiens	ventricular assist device	NA	keywords: gsc:mixs;migs:6.0	NA	2815	Best-placed reference protein set; GeneMarkS-2+	Geneious Assembler v. 2022.1.1	SAMN27288983	UCS13	NA	NA	Scaffold	6	209971	NA	32.5	508.66	26	25	97.71	0.72	v1.2.3	PRJNA823025	NA	homo sapiens | ventricular assist device | keywords: gsc:mixs;migs:6.0	human
GCF_023654805.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2742	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652586	SA1266	NA	NA	Scaffold	7	120969	NA	33	300	41	33	98.69	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654815.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2666	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652588	SA1271	NA	NA	Scaffold	4	311319	NA	32.5	300	29	27	96.78	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654845.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2763	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652584	SA1224	NA	NA	Scaffold	7	121841	NA	33	300	44	35	98.69	0.54	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654865.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2742	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652585	SA1254	NA	NA	Scaffold	7	120969	NA	33	300	41	33	98.69	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654885.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2738	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652583	SA1214	NA	NA	Scaffold	8	119065	NA	33	300	42	33	98.69	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023654895.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2672	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652581	SA1109	NA	NA	Scaffold	4	240611	NA	32.5	300	20	13	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654925.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2668	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652582	SA1110	NA	NA	Scaffold	4	240611	NA	32.5	300	21	14	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654945.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2640	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652587	SA1270	NA	NA	Scaffold	5	167361	NA	32.5	300	31	28	96.78	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654965.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2672	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652580	SA1108	NA	NA	Scaffold	4	240815	NA	32.5	300	21	14	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023654985.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2614	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652578	SA1095	NA	NA	Scaffold	3	310112	NA	32.5	300	17	13	98.52	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655005.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2673	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652579	SA1107	NA	NA	Scaffold	4	213377	NA	32.5	300	22	15	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655015.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2613	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652577	SA1092	NA	NA	Scaffold	3	238701	NA	32.5	300	20	15	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655045.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2610	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652575	SA1064	NA	NA	Scaffold	3	291497	NA	32.5	300	18	13	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655055.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2614	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652576	SA1073	NA	NA	Scaffold	3	291497	NA	32.5	300	18	13	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655085.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2612	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652574	SA1061	NA	NA	Scaffold	3	238834	NA	32.5	300	20	15	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655105.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2694	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652573	SA1053	NA	NA	Scaffold	4	311427	NA	33	300	30	28	96.63	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655125.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2698	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652572	SA1041	NA	NA	Scaffold	3	318173	NA	33	300	27	25	96.63	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655135.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2701	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652571	SA975	NA	NA	Scaffold	4	307533	NA	32.5	300	17	10	98.82	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655165.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2720	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652570	SA950	NA	NA	Scaffold	4	250136	NA	32.5	300	21	14	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655185.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2750	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652569	SA874	NA	NA	Scaffold	6	169549	NA	32.5	300	36	22	98.41	0.54	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655205.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2621	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652568	SA871	NA	NA	Scaffold	3	238701	NA	32.5	300	20	15	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655225.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2754	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652565	SA756	NA	NA	Scaffold	8	121841	NA	33	300	43	33	98.69	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655245.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2625	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652567	SA862	NA	NA	Scaffold	4	238701	NA	32.5	300	22	18	98.57	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655255.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2717	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652566	SA803	NA	NA	Scaffold	3	375705	NA	32.5	300	16	10	98.82	0.39	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
GCF_023655285.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2757	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652562	SA678	NA	NA	Scaffold	8	120969	NA	33	300	44	32	98.69	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655295.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652561	SA620	NA	NA	Scaffold	4	275068	NA	32.5	300	22	15	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655315.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2727	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652563	SA692	NA	NA	Scaffold	4	275068	NA	32.5	300	19	13	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655345.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2730	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652560	SA619	NA	NA	Scaffold	4	275068	NA	32.5	300	19	13	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655365.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2774	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652564	SA705	NA	NA	Scaffold	8	120969	NA	33	300	45	33	98.69	0.54	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655385.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2727	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652559	SA618	NA	NA	Scaffold	4	275067	NA	32.5	300	22	15	98.87	0.39	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655395.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2753	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652557	SA455	NA	NA	Scaffold	5	210578	NA	32.5	300	37	30	98.28	0.35	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655405.1	Staphylococcus aureus	yak	anal swab	NA	NA	NA	2765	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652558	SA456	NA	NA	Scaffold	5	204419	NA	32.5	300	36	30	98.28	0.35	v1.2.4	PRJNA720517	NA	yak | anal swab	yak
GCF_023655445.1	Staphylococcus aureus	yak	nasal swab	NA	NA	NA	2754	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN18652556	SA447	NA	NA	Scaffold	5	204419	NA	32.5	300	37	30	98.28	0.35	v1.2.4	PRJNA720517	NA	yak | nasal swab	yak
