Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_037046505.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0734		3063	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637670	BSN82			Complete Genome	1	2964297		33	97	2	2	98.04	1.17	v1.2.3	PRJNA1048360	
GCF_037076495.1	Staphylococcus aureus				Keywords: GSC:MIxS;MIGS:6.0		2848	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.5.0	SAMD00548381	TUM19381			Complete Genome	1	2852436		33	100	1	1	98.82	0.45	v1.2.3	PRJDB14474	
GCF_037076505.1	Staphylococcus aureus				Keywords: GSC:MIxS;MIGS:6.0		2860	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.5.0	SAMD00548388	TUM19957			Complete Genome	1	2862922		33	100	1	1	97.95	0.45	v1.2.3	PRJDB14474	
GCF_037076515.1	Staphylococcus aureus				Keywords: GSC:MIxS;MIGS:6.0		2778	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.5.0	SAMD00548390	TUM19959			Complete Genome	1	2791224		33	100	1	1	97.05	0.45	v1.2.3	PRJDB14474	
GCF_037076575.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2845	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Workbench v. 20.0.2	SAMD00278563	JARB-OU1357			Complete Genome	1	2858294		33		1	1	95.29	0.33	v1.2.2	PRJDB11172	
GCF_037083885.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0758		2781	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637677	BSN89			Complete Genome	1	2766693		33	280	3	3	98.31	0.56	v1.2.3	PRJNA1048360	
GCF_037095035.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0737		2869	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637673	BSN85			Complete Genome	1	2842199		33	168	2	2	97.71	0.39	v1.2.4	PRJNA1048360	
GCF_037095045.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0729		2991	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637665	BSN77			Complete Genome	1	2918960		33	110	2	2	97.84	0.39	v1.2.3	PRJNA1048360	
GCF_037120235.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0778		2773	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637696	BSN118			Complete Genome	1	2748216		33	108	2	2	98.28	0.64	v1.2.3	PRJNA1048360	
GCF_037137095.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0765		2850	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637684	BSN96			Scaffold	1	1441633		32.5	132	9	9	97.77	0.39	v1.2.3	PRJNA1048360	
GCF_037164185.1	Staphylococcus aureus	Homo sapiens	clinical		Bacterial isolates		2796	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. Version 11	SAMN39512706	SA 48 500			Scaffold	42	20740		32.5	100	283	269	98.54	0.88	v1.2.3	PRJNA1066988	
GCF_037164205.1	Staphylococcus aureus	Homo sapiens	clinical		Bacterial isolates		2875	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. Version 11	SAMN39512705	SA 43 500			Scaffold	34	26447		32.5	100	247	232	98.39	0.65	v1.2.3	PRJNA1066988	
GCF_037164215.1	Staphylococcus aureus	Homo sapiens	clinical		Bacterial isolates		2867	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. Version 11	SAMN39512701	NI 01 500			Scaffold	40	18388		33	100	329	311	98.6	1.33	v1.2.3	PRJNA1066988	
GCF_037164235.1	Staphylococcus aureus	Homo sapiens	clinical		Bacterial isolates		2778	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. Version 11	SAMN39512703	NI 06 500			Scaffold	35	24577		32.5	100	249	242	97.86	1.06	v1.2.3	PRJNA1066988	
GCF_037164285.1	Staphylococcus aureus	Homo sapiens	clinical		Bacterial isolates		2825	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. Version 11	SAMN39512702	NI 05 500			Scaffold	36	22062		32.5	100	294	278	98.48	0.83	v1.2.3	PRJNA1066988	
GCF_037199565.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0764		2743	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637683	BSN95			Complete Genome	1	2749557		33	137	2	2	98.87	0.39	v1.2.4	PRJNA1048360	
GCF_037199585.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0757		2933	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637676	BSN88			Complete Genome	1	2902684		33	72	1	1	97.4	0.39	v1.2.4	PRJNA1048360	
GCF_037199595.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0761		2847	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637680	BSN92			Complete Genome	1	2829403		33	162	2	2	98.33	0.39	v1.2.4	PRJNA1048360	
GCF_037199635.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0777		2730	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637695	BSN117			Complete Genome	1	2746111		33	196	2	2	98.77	0.39	v1.2.3	PRJNA1048360	
GCF_037199675.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0735		2832	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637671	BSN83			Complete Genome	1	2818489		33	192	1	1	98.26	0.39	v1.2.3	PRJNA1048360	
GCF_037199685.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0733		2787	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637669	BSN81			Complete Genome	1	2821181		33	153	1	1	97.44	0.68	v1.2.3	PRJNA1048360	
GCF_037199715.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0723		2948	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637659	BSN71			Complete Genome	1	2901695		33	135	1	1	98.12	0.39	v1.2.3	PRJNA1048360	
GCF_037199755.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0574. Other isolates from this patient: BSN38-MRSA2, BSN38-MRSA3, BSN38-MRSA4, BSN38-MSSA1, BSN38-MSSA2		2843	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN39933407	BSN38-MRSA1			Complete Genome	1	2816775		33	154	3	3	98.23	0.39	v1.2.4	PRJNA1048360	
GCF_037199815.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0575. Other isolates from this patient: BSN38-MRSA1, BSN38-MRSA2, BSN38-MRSA3, BSN38-MRSA4, BSN38-MSSA2		2758	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN39933410	BSN38-MSSA1			Complete Genome	1	2739913		33	162	2	2	98.85	0.39	v1.2.4	PRJNA1048360	
GCF_037201955.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0800		2916	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637718	BSN139			Complete Genome	1	2860695		33	176	2	2	97.01	0.39	v1.2.3	PRJNA1048360	
GCF_037202005.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0770		2769	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637689	BSN101			Chromosome	1	1751470		33	191	9	1	97.75	0.39	v1.2.3	PRJNA1048360	
GCF_037217245.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0827		2834	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637728	BSN149			Chromosome	1	2171615		33	155	3	2	98.79	0.39	v1.2.4	PRJNA1048360	
GCF_037217515.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0771. Other isolates from this patient: BSN102-2		2896	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637690	BSN102			Complete Genome	1	2840121		33	170	3	3	97.99	0.39	v1.2.3	PRJNA1048360	
GCF_037217645.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0766		2972	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637685	BSN97			Complete Genome	1	2923424		33	141	3	3	97.99	0.39	v1.2.4	PRJNA1048360	
GCF_037218625.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0768		2844	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637687	BSN99			Chromosome	2	839717		33	151	9	2	98.26	0.62	v1.2.3	PRJNA1048360	
GCF_037219465.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0826. Other isolates from this patient: BSN102		2897	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637691	BSN102-2			Complete Genome	1	2840162		33	196	3	3	97.99	0.39	v1.2.3	PRJNA1048360	
GCF_037220215.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0773		2978	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637693	BSN104			Chromosome	1	1885130		33	171	7	3	97.33	3.72	v1.2.3	PRJNA1048360	
GCF_037221085.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0774		2788	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637694	BSN105			Chromosome	1	2058773		33	250	6	2	98.1	0.54	v1.2.3	PRJNA1048360	
GCF_037221415.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0794. Other isolates from this patient: BSN133-2		2870	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637711	BSN133			Chromosome	1	1960939		33	196	4	2	97.99	0.58	v1.2.4	PRJNA1048360	
GCF_037222485.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0797		2909	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637715	BSN136			Chromosome	2	1056067		33	172	5	2	98.61	0.39	v1.2.4	PRJNA1048360	
GCF_037340935.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0825		2902	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637727	BSN148			Chromosome	1	2330283		33	111	3	2	98.28	0.39	v1.2.4	PRJNA1048360	
GCF_037343325.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0801		2683	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637719	BSN140			Complete Genome	1	2699050		33	293	2	2	98.78	0.39	v1.2.3	PRJNA1048360	
GCF_037414495.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0792		2803	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637709	BSN131			Complete Genome	1	2795386		33	166	2	2	97.71	0.39	v1.2.4	PRJNA1048360	
GCF_037478215.1	Staphylococcus aureus	Homo sapiens					2715	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v3.11.1	SAMN40499501	23H			Scaffold	10	99452		33	200	71	65	98.63	0.39	v1.2.3	PRJNA1088786	
GCF_037478255.1	Staphylococcus aureus	Homo sapiens					2714	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v3.11.1	SAMN40499500	23B			Scaffold	10	99453		33	200	71	65	98.63	0.39	v1.2.3	PRJNA1088786	
GCF_037482155.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0828		2760	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637729	BSN150			Chromosome	1	2263327		33	142	2	1	98.67	0.39	v1.2.4	PRJNA1048360	
GCF_037482185.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0835		2791	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637736	BSN156			Chromosome	1	2167725		33	98	3	1	97.74	0.62	v1.2.4	PRJNA1048360	
GCF_037482255.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0834. Other isolates from this patient: BSN155-2		2970	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637734	BSN155			Complete Genome	1	2896387		33	95	3	3	97.91	0.39	v1.2.4	PRJNA1048360	
GCF_037482265.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0877. Other isolates from this patient: BSN155		2960	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637735	BSN155-2			Complete Genome	1	2896459		33	180	2	2	97.91	0.39	v1.2.4	PRJNA1048360	
GCF_037483005.1	Staphylococcus aureus	Not applicable	Not applicable				2872	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12.0	SAMN38028057	SA75Dt			Scaffold	3	374838		32.5	200	20	18	98.76	0.98	v1.2.3	PRJNA1033195	
GCF_037483025.1	Staphylococcus aureus	Homo sapiens	Not applicable				2874	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12.0	SAMN38028056	SA75			Scaffold	3	374673		32.5	200	20	18	98.78	0.98	v1.2.3	PRJNA1033195	
GCF_037483035.1	Staphylococcus aureus	Not applicable	Not applicable				2870	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12.0	SAMN38028055	NewmanDt			Scaffold	3	284116		32.5	200	55	48	98.9	0.39	v1.2.3	PRJNA1033195	
GCF_037483105.1	Staphylococcus aureus	Not applicable	Not applicable				2889	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12.0	SAMN38028053	USA300Dt			Scaffold	5	201596		32.5	200	30	24	97.99	0.39	v1.2.3	PRJNA1033195	
GCF_037483145.1	Staphylococcus aureus	Homo sapiens	Not applicable				2894	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12.0	SAMN38028052	USA300			Scaffold	5	201602		32.5	200	37	31	97.99	0.39	v1.2.3	PRJNA1033195	
GCF_037809465.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0728		2772	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637664	BSN76			Complete Genome	1	2795256		33	155	1	1	98.37	0.47	v1.2.3	PRJNA1048360	
GCF_037890645.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0769		3049	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637688	BSN100			Chromosome	1	2433516		33	157	4	3	98.12	1.17	v1.2.3	PRJNA1048360	
GCF_037890655.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0730		2806	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637666	BSN78			Complete Genome	1	2783708		33	148	2	2	98.57	1.27	v1.2.3	PRJNA1048360	
GCF_037938875.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0783		2984	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637701	BSN123			Complete Genome	1	2911884		33	109	3	3	97.79	0.39	v1.2.4	PRJNA1048360	
GCF_037939205.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0782		2772	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637700	BSN122			Complete Genome	1	2760105		33	180	2	2	98.51	0.39	v1.2.3	PRJNA1048360	
GCF_037948675.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0784		2946	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637702	BSN124			Complete Genome	1	2889032		33	148	2	2	97.22	1.48	v1.2.4	PRJNA1048360	
GCF_037951045.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0785		2932	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637703	BSN125			Complete Genome	1	2913135		33	109	1	1	98.4	0.39	v1.2.4	PRJNA1048360	
GCF_037952035.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0923		2751	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637783	BSN203			Chromosome	1	2223210		33	172	2	1	98.62	0.39	v1.2.3	PRJNA1048360	
GCF_037993065.1	Staphylococcus aureus	Homo sapiens	Eye swab				2771	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN38504044	sa230627barcode06			Complete Genome	1	2753159		33	133	2	2	98.8	0.39	v1.2.3	PRJNA1046639	
GCF_038024215.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0937		3028	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637793	BSN213			Complete Genome	1	2917912		33	125	6	6	98.75	0.48	v1.2.3	PRJNA1048360	
GCF_038024225.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0939		2971	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637794	BSN214			Complete Genome	1	2919216		33	140	3	3	97.99	0.39	v1.2.3	PRJNA1048360	
GCF_038024695.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2816	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554557	TUM22750			Complete Genome	1	2819071		33	161	2	2	98.46	0.33	v1.2.3	PRJNA1090044	
GCF_038024705.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2879	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554556	TUM22749			Complete Genome	1	2856796		33	157	2	2	98.6	0.33	v1.2.3	PRJNA1090044	
GCF_038024715.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2883	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554555	TUM22744			Complete Genome	1	2862501		33	142	2	2	98.58	0.33	v1.2.3	PRJNA1090044	
GCF_038024725.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2877	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554554	TUM22741			Complete Genome	1	2858218		33	163	2	2	98.58	0.36	v1.2.3	PRJNA1090044	
GCF_038024735.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2819	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554553	TUM22730			Complete Genome	1	2762932		33	112	2	2	97.82	0.24	v1.2.3	PRJNA1090044	
GCF_038024745.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2747	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554550	TUM22707			Complete Genome	1	2791788		33	318	1	1	98.05	0.72	v1.2.3	PRJNA1090044	
GCF_038024755.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2764	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554549	TUM22705			Complete Genome	1	2784767		33	347	1	1	98.55	0.39	v1.2.3	PRJNA1090044	
GCF_038024985.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2833	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554552	TUM22723			Complete Genome	1	2796594		32.5	303	2	2	97.99	0.39	v1.2.3	PRJNA1090044	
GCF_038025015.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2860	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554551	TUM22721			Complete Genome	1	2825857		32.5	218	3	3	98.57	0.39	v1.2.3	PRJNA1090044	
GCF_038025155.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		3010	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.2	SAMN40554548	TUM22702			Complete Genome	1	2955722		33	282	3	3	97.99	0.58	v1.2.3	PRJNA1090044	
GCF_038048995.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0878		2933	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637761	BSN181			Complete Genome	1	2895282		33	126	3	3	98.48	0.39	v1.2.3	PRJNA1048360	
GCF_038049065.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0879		2766	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637762	BSN182			Complete Genome	1	2775823		33	146	2	2	98.32	0.73	v1.2.3	PRJNA1048360	
GCF_038050005.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0876		2820	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637760	BSN180			Complete Genome	1	2813540		33	131	1	1	98.77	0.39	v1.2.3	PRJNA1048360	
GCF_038096205.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0596		2988	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637637	BSN47-2			Complete Genome	1	2918888		33	126	4	4	97.99	0.39	v1.2.3	PRJNA1048360	
GCF_038096215.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0844		2769	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637745	BSN165			Complete Genome	1	2749865		33	112	2	2	98.18	0.62	v1.2.4	PRJNA1048360	
GCF_038096225.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0627. Other isolates from this patient: BSN55-2		2948	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637644	BSN55			Complete Genome	1	2889298		33	147	3	3	98.1	0.33	v1.2.3	PRJNA1048360	
GCF_038096235.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0880		2823	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637763	BSN183			Complete Genome	1	2816517		33	158	3	3	98.87	0.39	v1.2.3	PRJNA1048360	
GCF_038096245.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0829		2755	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637730	BSN151			Complete Genome	1	2743556		33	212	2	2	98.82	0.39	v1.2.4	PRJNA1048360	
GCF_038096255.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0837		2689	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637738	BSN158			Complete Genome	1	2697425		33	156	2	2	98.17	0.48	v1.2.4	PRJNA1048360	
GCF_038096265.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0833		2787	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637733	BSN154			Complete Genome	1	2786821		33	155	2	2	97.84	0.34	v1.2.4	PRJNA1048360	
GCF_038096275.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0760		2814	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637679	BSN91			Chromosome	1	1870238		33	137	5	3	97.92	0.39	v1.2.3	PRJNA1048360	
GCF_038096285.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0830		2988	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637731	BSN152			Complete Genome	1	2857735		33	174	6	6	98.8	0.98	v1.2.4	PRJNA1048360	
GCF_038096295.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0836		2886	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637737	BSN157			Complete Genome	1	2863857		33	82	2	2	98.33	0.39	v1.2.4	PRJNA1048360	
GCF_038096305.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0843		2732	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637744	BSN164			Complete Genome	1	2747260		33	108	2	2	98.87	0.39	v1.2.4	PRJNA1048360	
GCF_038096315.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0595		2988	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637636	BSN46-2			Complete Genome	1	2920103		33	149	2	2	97.72	0.39	v1.2.3	PRJNA1048360	
GCF_038111625.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0847		2790	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637748	BSN168			Complete Genome	1	2776145		33	189	2	2	98.55	0.54	v1.2.4	PRJNA1048360	
GCF_038113395.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0839		2718	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637740	BSN160			Complete Genome	1	2748576		33	209	1	1	98.16	0.39	v1.2.4	PRJNA1048360	
GCF_038115185.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0849		2963	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637750	BSN170			Complete Genome	1	2913182		33	125	3	3	98.4	0.39	v1.2.4	PRJNA1048360	
GCF_038129325.1	Staphylococcus aureus	Homo sapiens	blood		alias: B0628. Other isolates from this patient: BSN55		2946	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637645	BSN55-2			Complete Genome	1	2889292		33	132	2	2	98.1	0.33	v1.2.3	PRJNA1048360	
